,Country_code,year,unit,na_item,GDP,Population,GDP/Cap
0,AL,2012,CLV15_MEUR,B1GQ,9768.4,2903008.0,3364.923555153827
1,AT,2012,CLV15_MEUR,B1GQ,338486.5,8408121.0,40257.09192339168
2,BA,2012,CLV15_MEUR,B1GQ,13695.8,3839265.0,3567.297386348689
3,BE,2012,CLV15_MEUR,B1GQ,400181.0,11075889.0,36130.82435188724
4,BG,2012,CLV15_MEUR,B1GQ,44117.0,7327224.0,6020.970561293063
5,CH,2012,CLV15_MEUR,B1GQ,590695.9,7954662.0,74257.82515963595
6,CY,2012,CLV15_MEUR,B1GQ,18910.4,862011.0,21937.539080127746
7,CZ,2012,CLV15_MEUR,B1GQ,157402.2,10505445.0,14982.916002130323
8,DE,2012,CLV15_MEUR,B1GQ,2904527.6,80327900.0,36158.390795726016
9,DK,2012,CLV15_MEUR,B1GQ,260089.6,5580516.0,46606.72955690836
10,EE,2012,CLV15_MEUR,B1GQ,19381.2,1325217.0,14624.925578226057
11,EL,2012,CLV15_MEUR,B1GQ,180418.0,11086406.0,16273.804152581099
12,ES,2012,CLV15_MEUR,B1GQ,1038521.0,46818219.0,22181.984325375553
13,FI,2012,CLV15_MEUR,B1GQ,212932.0,5401267.0,39422.602141312396
14,FR,2012,CLV15_MEUR,B1GQ,2141301.0,65276983.0,32803.30832691823
15,HR,2012,CLV15_MEUR,B1GQ,44511.9,4275984.0,10409.74428342108
16,HU,2012,CLV15_MEUR,B1GQ,102495.5,9931925.0,10319.802052472205
17,IE,2012,CLV15_MEUR,B1GQ,192446.6,4589287.0,41933.87774615098
18,IS,2012,CLV15_MEUR,B1GQ,14225.7,319575.0,44514.43323163577
19,IT,2012,CLV15_MEUR,B1GQ,1673454.9,59394207.0,28175.389226090687
20,LT,2012,CLV15_MEUR,B1GQ,34142.1,3003641.0,11366.904367066503
21,LU,2012,CLV15_MEUR,B1GQ,50001.5,524853.0,95267.62731660104
22,LV,2012,CLV15_MEUR,B1GQ,22754.7,2044813.0,11128.010238589055
23,ME,2012,CLV15_MEUR,B1GQ,3353.7,620308.0,5406.507734867195
24,MK,2012,CLV15_MEUR,B1GQ,8190.0,2059794.0,3976.1257679165974
25,MT,2012,CLV15_MEUR,B1GQ,8033.9,417546.0,19240.754312099743
26,NL,2012,CLV15_MEUR,B1GQ,668121.4,16730348.0,39934.69830992159
27,NO,2012,CLV15_MEUR,B1GQ,333102.4,4985870.0,66809.28303385367
28,PL,2012,CLV15_MEUR,B1GQ,393200.6,38063792.0,10330.042787119055
29,PT,2012,CLV15_MEUR,B1GQ,176792.9,10542398.0,16769.704577649223
30,RO,2012,CLV15_MEUR,B1GQ,148826.2,20095996.0,7405.7638148415235
31,RS,2012,CLV15_MEUR,B1GQ,34670.4,7216649.0,4804.224232050083
32,SE,2012,CLV15_MEUR,B1GQ,419654.2,9482855.0,44253.993127597125
33,SI,2012,CLV15_MEUR,B1GQ,37373.3,2055496.0,18182.132195830105
34,SK,2012,CLV15_MEUR,B1GQ,73721.7,5404322.0,13641.248615459997
35,TR,2012,CLV15_MEUR,B1GQ,643398.3,74724269.0,8610.299018114181
36,UK,2012,CLV15_MEUR,B1GQ,2458022.7,63495088.0,38712.01343952779
38,AL,2013,CLV15_MEUR,B1GQ,9866.2,2897770.0,3404.756071047737
39,AT,2013,CLV15_MEUR,B1GQ,338572.8,8451860.0,40058.96926830307
41,BE,2013,CLV15_MEUR,B1GQ,402018.8,11137974.0,36094.427945333686
