,Country_code,year,unit,na_item,GDP,Population,GDP/Cap
42,BG,2013,CLV15_MEUR,B1GQ,43869.7,7284552.0,6022.292105266048
43,CH,2013,CLV15_MEUR,B1GQ,601282.1,8039060.0,74795.0755436581
44,CY,2013,CLV15_MEUR,B1GQ,17664.7,865878.0,20400.910982840538
45,CZ,2013,CLV15_MEUR,B1GQ,157329.9,10516125.0,14960.824448168883
46,DE,2013,CLV15_MEUR,B1GQ,2917237.5,80523746.0,36228.28848523764
47,DK,2013,CLV15_MEUR,B1GQ,262517.1,5602628.0,46856.06468964207
48,EE,2013,CLV15_MEUR,B1GQ,19663.9,1320174.0,14894.930516734916
49,EL,2013,CLV15_MEUR,B1GQ,175878.7,11003615.0,15983.719895688826
50,ES,2013,CLV15_MEUR,B1GQ,1023947.0,46727890.0,21912.973172980848
51,FI,2013,CLV15_MEUR,B1GQ,211012.0,5426674.0,38884.222638028376
52,FR,2013,CLV15_MEUR,B1GQ,2153641.9,65600350.0,32829.73185356481
53,HR,2013,CLV15_MEUR,B1GQ,44334.8,4262140.0,10402.004626783728
54,HU,2013,CLV15_MEUR,B1GQ,104343.0,9908798.0,10530.338795886242
55,IE,2013,CLV15_MEUR,B1GQ,194612.9,4609779.0,42217.403480730856
56,IS,2013,CLV15_MEUR,B1GQ,14873.3,321857.0,46210.89490053036
57,IT,2013,CLV15_MEUR,B1GQ,1642645.5,59685227.0,27521.810380314044
58,LT,2013,CLV15_MEUR,B1GQ,35354.1,2971905.0,11896.107042452568
59,LU,2013,CLV15_MEUR,B1GQ,51587.5,537039.0,96059.1316459326
60,LV,2013,CLV15_MEUR,B1GQ,23211.6,2023825.0,11469.173471026397
61,ME,2013,CLV15_MEUR,B1GQ,3472.7,620893.0,5593.073202629116
62,MK,2013,CLV15_MEUR,B1GQ,8429.5,2062294.0,4087.43855143835
63,MT,2013,CLV15_MEUR,B1GQ,8473.6,422509.0,20055.43077188888
64,NL,2013,CLV15_MEUR,B1GQ,667251.7,16779575.0,39765.70920300425
65,NO,2013,CLV15_MEUR,B1GQ,336487.3,5051275.0,66614.33004538459
66,PL,2013,CLV15_MEUR,B1GQ,396568.6,38062535.0,10418.869893978423
67,PT,2013,CLV15_MEUR,B1GQ,175161.7,10487289.0,16702.285976862084
68,RO,2013,CLV15_MEUR,B1GQ,149228.0,20020074.0,7453.918501999543
69,RS,2013,CLV15_MEUR,B1GQ,35673.2,7181505.0,4967.3710454841985
70,SE,2013,CLV15_MEUR,B1GQ,424638.8,9555893.0,44437.374926655204
71,SI,2013,CLV15_MEUR,B1GQ,36988.6,2058821.0,17965.913500979445
72,SK,2013,CLV15_MEUR,B1GQ,74188.2,5410836.0,13711.0420644795
73,TR,2013,CLV15_MEUR,B1GQ,697995.9,75627384.0,9229.406903721541
74,UK,2013,CLV15_MEUR,B1GQ,2511757.9,63905342.0,39304.349548743514
76,AL,2014,CLV15_MEUR,B1GQ,10041.3,2892394.0,3471.622469138022
77,AT,2014,CLV15_MEUR,B1GQ,340811.7,8507786.0,40058.800256612005
79,BE,2014,CLV15_MEUR,B1GQ,408364.8,11180840.0,36523.62434307261
80,BG,2014,CLV15_MEUR,B1GQ,44293.9,7245677.0,6113.148571210116
81,CH,2014,CLV15_MEUR,B1GQ,615411.5,8139631.0,75606.80576306224
82,CY,2014,CLV15_MEUR,B1GQ,17350.9,858000.0,20222.49417249417
83,CZ,2014,CLV15_MEUR,B1GQ,160888.9,10512419.0,15304.650623229534
84,DE,2014,CLV15_MEUR,B1GQ,2981695.2,80767463.0,36917.034276537815
85,DK,2014,CLV15_MEUR,B1GQ,266768.3,5627235.0,47406.63931753339
86,EE,2014,CLV15_MEUR,B1GQ,20256.0,1315819.0,15394.214553825412
87,EL,2014,CLV15_MEUR,B1GQ,176715.4,10926807.0,16172.647691132459
88,ES,2014,CLV15_MEUR,B1GQ,1038239.0,46512199.0,22321.864420987706
89,FI,2014,CLV15_MEUR,B1GQ,210242.0,5451270.0,38567.52646630968
90,FR,2014,CLV15_MEUR,B1GQ,2174234.7,66165980.0,32860.31129592579
91,HR,2014,CLV15_MEUR,B1GQ,44144.5,4246809.0,10394.745796196627
92,HU,2014,CLV15_MEUR,B1GQ,108759.0,9877365.0,11010.932571591715
93,IE,2014,CLV15_MEUR,B1GQ,211445.7,4637852.0,45591.29959300124
94,IS,2014,CLV15_MEUR,B1GQ,15124.3,325671.0,46440.42607416688
95,IT,2014,CLV15_MEUR,B1GQ,1642570.8,60782668.0,27023.670629265565
96,LT,2014,CLV15_MEUR,B1GQ,36604.6,2943472.0,12435.858061500161
97,LU,2014,CLV15_MEUR,B1GQ,52940.7,549680.0,96311.85416969874
98,LV,2014,CLV15_MEUR,B1GQ,23653.1,2001468.0,11817.875679251429
99,ME,2014,CLV15_MEUR,B1GQ,3534.7,621521.0,5687.177102624047
100,MK,2014,CLV15_MEUR,B1GQ,8735.5,2065769.0,4228.691591363797
101,MT,2014,CLV15_MEUR,B1GQ,9120.4,429424.0,21238.68251425165
102,NL,2014,CLV15_MEUR,B1GQ,676749.3,16829289.0,40212.59008624785
103,NO,2014,CLV15_MEUR,B1GQ,343379.0,5107970.0,67224.16145748702
104,PL,2014,CLV15_MEUR,B1GQ,411784.9,38017856.0,10831.35514006892
105,PT,2014,CLV15_MEUR,B1GQ,176549.3,10427301.0,16931.447552919017
106,RO,2014,CLV15_MEUR,B1GQ,155377.1,19947311.0,7789.37572086784
107,RS,2014,CLV15_MEUR,B1GQ,35106.2,7146759.0,4912.184670002164
108,SE,2014,CLV15_MEUR,B1GQ,435924.8,9644864.0,45197.6098366965
109,SI,2014,CLV15_MEUR,B1GQ,38012.5,2061085.0,18442.956015884836
110,SK,2014,CLV15_MEUR,B1GQ,76189.2,5415949.0,14067.5623053319
111,TR,2014,CLV15_MEUR,B1GQ,732474.9,76667864.0,9553.871228237165
112,UK,2014,CLV15_MEUR,B1GQ,2583662.7,64351203.0,40149.40792948347
114,AL,2015,CLV15_MEUR,B1GQ,10264.1,2885796.0,3556.765620300257
115,AT,2015,CLV15_MEUR,B1GQ,344269.2,8584926.0,40101.59202304132
117,BE,2015,CLV15_MEUR,B1GQ,416701.4,11237274.0,37082.07168393331
118,BG,2015,CLV15_MEUR,B1GQ,45812.3,7202198.0,6360.877609862989
119,CH,2015,CLV15_MEUR,B1GQ,625532.7,8237666.0,75935.67158464546
120,CY,2015,CLV15_MEUR,B1GQ,17944.2,847008.0,21185.396123767427
121,CZ,2015,CLV15_MEUR,B1GQ,169558.2,10538275.0,16089.749033878885
122,DE,2015,CLV15_MEUR,B1GQ,3026180.0,81197537.0,37269.35707421766
123,DK,2015,CLV15_MEUR,B1GQ,273017.6,5659715.0,48238.75407153893
124,EE,2015,CLV15_MEUR,B1GQ,20631.4,1314870.0,15690.82875113129
125,EL,2015,CLV15_MEUR,B1GQ,176368.9,10858018.0,16243.194660388295
126,ES,2015,CLV15_MEUR,B1GQ,1078092.0,46449565.0,23209.948252475562
127,FI,2015,CLV15_MEUR,B1GQ,211385.0,5471753.0,38632.04351512212
128,FR,2015,CLV15_MEUR,B1GQ,2198432.0,66458153.0,33079.94430720938
129,HR,2015,CLV15_MEUR,B1GQ,45257.9,4225316.0,10711.12787777293
130,HU,2015,CLV15_MEUR,B1GQ,112791.0,9855571.0,11444.39018297367
131,IE,2015,CLV15_MEUR,B1GQ,262975.9,4677627.0,56219.938015579275
132,IS,2015,CLV15_MEUR,B1GQ,15795.3,329100.0,47995.442114858706
133,IT,2015,CLV15_MEUR,B1GQ,1655355.0,60795612.0,27228.198640388717
134,LT,2015,CLV15_MEUR,B1GQ,37345.7,2921262.0,12784.098105544796
135,LU,2015,CLV15_MEUR,B1GQ,54142.3,562958.0,96174.67022406645
136,LV,2015,CLV15_MEUR,B1GQ,24572.1,1986096.0,12372.060565048216
137,ME,2015,CLV15_MEUR,B1GQ,3654.5,622099.0,5874.466925682247
138,MK,2015,CLV15_MEUR,B1GQ,9072.3,2069172.0,4384.50742615887
139,MT,2015,CLV15_MEUR,B1GQ,9996.7,439691.0,22735.739416999666
140,NL,2015,CLV15_MEUR,B1GQ,690008.0,16900726.0,40827.121864469016
141,NO,2015,CLV15_MEUR,B1GQ,349756.7,5166493.0,67697.12065805566
142,PL,2015,CLV15_MEUR,B1GQ,429834.6,38005614.0,11309.765972995463
143,PT,2015,CLV15_MEUR,B1GQ,179713.2,10374822.0,17322.05140483374
144,RO,2015,CLV15_MEUR,B1GQ,160287.8,19870647.0,8066.561697764547
145,RS,2015,CLV15_MEUR,B1GQ,35740.2,7114393.0,5023.647133353471
146,SE,2015,CLV15_MEUR,B1GQ,455494.7,9747355.0,46730.08216075027
147,SI,2015,CLV15_MEUR,B1GQ,38852.6,2062874.0,18834.208972530556
148,SK,2015,CLV15_MEUR,B1GQ,80126.0,5421349.0,14779.716266191312
149,TR,2015,CLV15_MEUR,B1GQ,777042.3,77695904.0,10001.071613762291
150,UK,2015,CLV15_MEUR,B1GQ,2644716.5,64853393.0,40779.92496090374
152,AL,2016,CLV15_MEUR,B1GQ,10604.4,2875592.0,3687.7276053070113
153,AT,2016,CLV15_MEUR,B1GQ,351118.3,8700471.0,40356.24048399219
155,BE,2016,CLV15_MEUR,B1GQ,421979.7,11311117.0,37306.63381874664
156,BG,2016,CLV15_MEUR,B1GQ,47204.9,7153784.0,6598.591738302414
157,CH,2016,CLV15_MEUR,B1GQ,638473.0,8327126.0,76673.87283439688
158,CY,2016,CLV15_MEUR,B1GQ,19123.7,848319.0,22543.0527902829
159,CZ,2016,CLV15_MEUR,B1GQ,173860.4,10553843.0,16473.65798411062
160,DE,2016,CLV15_MEUR,B1GQ,3093663.8,82175684.0,37646.94918754799
161,DK,2016,CLV15_MEUR,B1GQ,281879.6,5707251.0,49389.73246489422
162,EE,2016,CLV15_MEUR,B1GQ,21282.4,1315944.0,16172.724675214144
163,EL,2016,CLV15_MEUR,B1GQ,175509.6,10783748.0,16275.380322314653
164,ES,2016,CLV15_MEUR,B1GQ,1110842.0,46440099.0,23919.888715138182
165,FI,2016,CLV15_MEUR,B1GQ,217328.0,5487308.0,39605.577088073056
166,FR,2016,CLV15_MEUR,B1GQ,2222515.0,66638391.0,33351.87069567751
167,HR,2016,CLV15_MEUR,B1GQ,46868.8,4190669.0,11184.08540497949
168,HU,2016,CLV15_MEUR,B1GQ,115273.5,9830485.0,11726.125414971895
169,IE,2016,CLV15_MEUR,B1GQ,268252.9,4726286.0,56757.65283776734
170,IS,2016,CLV15_MEUR,B1GQ,16791.0,332529.0,50494.84405871368
171,IT,2016,CLV15_MEUR,B1GQ,1676766.4,60665551.0,27639.514887122677
172,LT,2016,CLV15_MEUR,B1GQ,38286.4,2888558.0,13254.50276573986
173,LU,2016,CLV15_MEUR,B1GQ,56837.6,576249.0,98633.75034056458
174,LV,2016,CLV15_MEUR,B1GQ,25154.1,1968957.0,12775.34247827657
175,ME,2016,CLV15_MEUR,B1GQ,3762.3,622218.0,6046.594601891941
176,MK,2016,CLV15_MEUR,B1GQ,9330.7,2071278.0,4504.803314668528
177,MT,2016,CLV15_MEUR,B1GQ,10334.7,450415.0,22944.839758889026
178,NL,2016,CLV15_MEUR,B1GQ,705131.0,16979120.0,41529.30187194625
179,NO,2016,CLV15_MEUR,B1GQ,353830.5,5210721.0,67904.32648380137
180,PL,2016,CLV15_MEUR,B1GQ,442529.8,37967209.0,11655.578897042446
181,PT,2016,CLV15_MEUR,B1GQ,183342.4,10341330.0,17729.092872967016
182,RO,2016,CLV15_MEUR,B1GQ,164868.2,19760585.0,8343.285383504588
183,RS,2016,CLV15_MEUR,B1GQ,36933.5,7076372.0,5219.270552763478
184,SE,2016,CLV15_MEUR,B1GQ,464926.2,9851017.0,47195.756539654736
185,SI,2016,CLV15_MEUR,B1GQ,40092.8,2064188.0,19423.037048950966
186,SK,2016,CLV15_MEUR,B1GQ,81683.7,5426252.0,15053.429144094303
187,TR,2016,CLV15_MEUR,B1GQ,802864.0,78741053.0,10196.256836951368
188,UK,2016,CLV15_MEUR,B1GQ,2690268.7,65379044.0,41148.79226438368
189,XK,2016,CLV15_MEUR,B1GQ,5990.6,1771604.0,3381.455449411945
190,AL,2017,CLV15_MEUR,B1GQ,11007.6,2876591.0,3826.6128205226255
191,AT,2017,CLV15_MEUR,B1GQ,359048.5,8772865.0,40927.16575485888
193,BE,2017,CLV15_MEUR,B1GQ,428814.0,11351727.0,37775.22133856813
194,BG,2017,CLV15_MEUR,B1GQ,48508.8,7101859.0,6830.436932076517
195,CH,2017,CLV15_MEUR,B1GQ,647174.1,8419550.0,76865.64008765314
196,CY,2017,CLV15_MEUR,B1GQ,20220.2,854802.0,23654.834686863156
197,CZ,2017,CLV15_MEUR,B1GQ,182846.7,10578820.0,17284.22451653398
198,DE,2017,CLV15_MEUR,B1GQ,3176581.2,82521653.0,38493.9114101362
199,DK,2017,CLV15_MEUR,B1GQ,289833.5,5748769.0,50416.61962761071
200,EE,2017,CLV15_MEUR,B1GQ,22515.1,1315635.0,17113.48512315346
201,EL,2017,CLV15_MEUR,B1GQ,177426.5,10768193.0,16476.905642385867
202,ES,2017,CLV15_MEUR,B1GQ,1143898.0,46528024.0,24585.14034466626
203,FI,2017,CLV15_MEUR,B1GQ,224266.0,5503297.0,40751.20786684782
204,FR,2017,CLV15_MEUR,B1GQ,2273442.2,66809816.0,34028.56550300932
205,HR,2017,CLV15_MEUR,B1GQ,48468.2,4154213.0,11667.239980232116
206,HU,2017,CLV15_MEUR,B1GQ,120198.0,9797561.0,12268.155309265234
207,IE,2017,CLV15_MEUR,B1GQ,292410.0,4784383.0,61117.59865378671
208,IS,2017,CLV15_MEUR,B1GQ,17495.3,338349.0,51707.85195168303
209,IT,2017,CLV15_MEUR,B1GQ,1704732.5,60589445.0,28135.799890558497
210,LT,2017,CLV15_MEUR,B1GQ,39926.0,2847904.0,14019.433239322674
211,LU,2017,CLV15_MEUR,B1GQ,57586.3,590667.0,97493.68087264059
212,LV,2017,CLV15_MEUR,B1GQ,25987.4,1950116.0,13326.079064014653
213,ME,2017,CLV15_MEUR,B1GQ,3939.7,622387.0,6329.984398774396
214,MK,2017,CLV15_MEUR,B1GQ,9431.6,2073702.0,4548.194485032082
215,MT,2017,CLV15_MEUR,B1GQ,11458.1,460297.0,24892.84092661912
216,NL,2017,CLV15_MEUR,B1GQ,725656.7,17081507.0,42482.00700324626
217,NO,2017,CLV15_MEUR,B1GQ,362547.9,5258317.0,68947.51685758009
218,PL,2017,CLV15_MEUR,B1GQ,465275.9,37972964.0,12252.820190701996
219,PT,2017,CLV15_MEUR,B1GQ,189771.1,10309573.0,18407.27060179893
220,RO,2017,CLV15_MEUR,B1GQ,178381.6,19643949.0,9080.740333830026
221,RS,2017,CLV15_MEUR,B1GQ,37709.5,7040272.0,5356.256121922562
222,SE,2017,CLV15_MEUR,B1GQ,476865.1,9995153.0,47709.63486001665
223,SI,2017,CLV15_MEUR,B1GQ,42023.4,2065895.0,20341.498478867514
224,SK,2017,CLV15_MEUR,B1GQ,84083.6,5435343.0,15469.787279294058
225,TR,2017,CLV15_MEUR,B1GQ,863094.9,79814871.0,10813.71039239041
226,UK,2017,CLV15_MEUR,B1GQ,2737087.7,65844142.0,41569.19077174702
227,XK,2017,CLV15_MEUR,B1GQ,6279.7,1783531.0,3520.9368382158764
228,AL,2018,CLV15_MEUR,B1GQ,11450.0,2870324.0,3989.0967012783226
229,AT,2018,CLV15_MEUR,B1GQ,367756.8,8822267.0,41685.06802163208
231,BE,2018,CLV15_MEUR,B1GQ,436502.4,11398589.0,38294.42398528449
232,BG,2018,CLV15_MEUR,B1GQ,49811.2,7050034.0,7065.384365522209
233,CH,2018,CLV15_MEUR,B1GQ,665686.2,8484130.0,78462.51766533517
234,CY,2018,CLV15_MEUR,B1GQ,21361.1,864236.0,24716.744037508273
235,CZ,2018,CLV15_MEUR,B1GQ,188734.6,10610055.0,17788.277252097185
236,DE,2018,CLV15_MEUR,B1GQ,3207750.8,82792351.0,38744.53088063654
237,DK,2018,CLV15_MEUR,B1GQ,295599.9,5781190.0,51131.324173742774
238,EE,2018,CLV15_MEUR,B1GQ,23367.1,1319133.0,17713.98335118597
239,EL,2018,CLV15_MEUR,B1GQ,180386.7,10741165.0,16793.960431666397
240,ES,2018,CLV15_MEUR,B1GQ,1170030.0,46658447.0,25076.488293748826
241,FI,2018,CLV15_MEUR,B1GQ,226822.0,5513130.0,41142.14611300659
242,FR,2018,CLV15_MEUR,B1GQ,2315843.4,67026224.0,34551.30338238955
243,HR,2018,CLV15_MEUR,B1GQ,49825.6,4105493.0,12136.325649562672
244,HU,2018,CLV15_MEUR,B1GQ,126643.4,9778371.0,12951.380142970644
245,IE,2018,CLV15_MEUR,B1GQ,317345.4,4830392.0,65697.64938332127
246,IS,2018,CLV15_MEUR,B1GQ,18350.7,348450.0,52663.796814464054
247,IT,2018,CLV15_MEUR,B1GQ,1720515.1,60483973.0,28445.801667162308
248,LT,2018,CLV15_MEUR,B1GQ,41520.4,2808901.0,14781.724240192161
249,LU,2018,CLV15_MEUR,B1GQ,58288.4,602005.0,96823.78053338427
250,LV,2018,CLV15_MEUR,B1GQ,27024.7,1934379.0,13970.736861804227
251,ME,2018,CLV15_MEUR,B1GQ,4139.8,622359.0,6651.787794504458
252,MK,2018,CLV15_MEUR,B1GQ,9703.3,2075301.0,4675.610911381048
253,MT,2018,CLV15_MEUR,B1GQ,12167.7,475701.0,25578.462101193818
254,NL,2018,CLV15_MEUR,B1GQ,742788.8,17181084.0,43232.941530348144
255,NO,2018,CLV15_MEUR,B1GQ,365553.2,5295619.0,69029.36181775917
256,PL,2018,CLV15_MEUR,B1GQ,492937.5,37976687.0,12980.002705343939
257,PT,2018,CLV15_MEUR,B1GQ,195178.3,10291027.0,18965.871919294354
258,RO,2018,CLV15_MEUR,B1GQ,189136.2,19533481.0,9682.667416012539
259,RS,2018,CLV15_MEUR,B1GQ,39404.6,7001444.0,5628.067581487476
260,SE,2018,CLV15_MEUR,B1GQ,486164.1,10120242.0,48038.782076555086
261,SI,2018,CLV15_MEUR,B1GQ,43895.3,2066880.0,21237.469035454404
262,SK,2018,CLV15_MEUR,B1GQ,87472.5,5443120.0,16070.28689428122
263,TR,2018,CLV15_MEUR,B1GQ,888814.1,80810525.0,10998.741809931318
264,UK,2018,CLV15_MEUR,B1GQ,2771372.2,66273576.0,41817.151982262134
265,XK,2018,CLV15_MEUR,B1GQ,6493.6,1798506.0,3610.552313976156
266,AL,2019,CLV15_MEUR,B1GQ,11689.0,2862427.0,4083.5975904363677
267,AT,2019,CLV15_MEUR,B1GQ,373337.1,8858775.0,42143.196999585154
269,BE,2019,CLV15_MEUR,B1GQ,446374.2,11455519.0,38965.86440125498
270,BG,2019,CLV15_MEUR,B1GQ,51822.6,7000039.0,7403.1873250991885
271,CH,2019,CLV15_MEUR,B1GQ,673288.2,8544527.0,78797.59757327702
272,CY,2019,CLV15_MEUR,B1GQ,22543.6,875899.0,25737.670667508468
273,CZ,2019,CLV15_MEUR,B1GQ,194453.0,10649800.0,18258.840541606416
274,DE,2019,CLV15_MEUR,B1GQ,3241644.0,83019213.0,39046.91315250122
275,DK,2019,CLV15_MEUR,B1GQ,300014.6,5806081.0,51672.47925063395
276,EE,2019,CLV15_MEUR,B1GQ,24241.0,1324820.0,18297.580048610376
277,EL,2019,CLV15_MEUR,B1GQ,183785.8,10724599.0,17136.84586248866
278,ES,2019,CLV15_MEUR,B1GQ,1193243.0,46937060.0,25422.193038933416
279,FI,2019,CLV15_MEUR,B1GQ,229600.0,5517919.0,41609.88952538085
280,FR,2019,CLV15_MEUR,B1GQ,2358523.7,67177636.0,35108.76298177566
281,HR,2019,CLV15_MEUR,B1GQ,51530.2,4076246.0,12641.582475640576
282,HU,2019,CLV15_MEUR,B1GQ,132803.7,9772756.0,13589.175868096985
283,IE,2019,CLV15_MEUR,B1GQ,334612.0,4904240.0,68229.12418641828
284,IS,2019,CLV15_MEUR,B1GQ,18682.0,356991.0,52331.85150325918
285,IT,2019,CLV15_MEUR,B1GQ,1728828.6,59816673.0,28902.118979435716
286,LT,2019,CLV15_MEUR,B1GQ,43440.8,2794184.0,15546.86448709176
287,LU,2019,CLV15_MEUR,B1GQ,59640.7,613894.0,97151.46263035639
288,LV,2019,CLV15_MEUR,B1GQ,27719.2,1919968.0,14437.323955399257
289,ME,2019,CLV15_MEUR,B1GQ,4308.0,622182.0,6924.0190169435955
290,MK,2019,CLV15_MEUR,B1GQ,10082.8,2077132.0,4854.193185603996
291,MT,2019,CLV15_MEUR,B1GQ,13020.5,493559.0,26380.83795453026
292,NL,2019,CLV15_MEUR,B1GQ,757314.7,17282163.0,43820.5969935592
293,NO,2019,CLV15_MEUR,B1GQ,369661.1,5328212.0,69378.07654800522
294,PL,2019,CLV15_MEUR,B1GQ,514873.3,37972812.0,13558.998475014176
295,PT,2019,CLV15_MEUR,B1GQ,200414.4,10276617.0,19501.982023850844
296,RO,2019,CLV15_MEUR,B1GQ,196424.0,19414458.0,10117.408376788062
297,RS,2019,CLV15_MEUR,B1GQ,41111.5,6963764.0,5903.632001314232
298,SE,2019,CLV15_MEUR,B1GQ,495820.3,10230185.0,48466.40603273548
299,SI,2019,CLV15_MEUR,B1GQ,45410.1,2080908.0,21822.252593579342
300,SK,2019,CLV15_MEUR,B1GQ,89667.8,5450421.0,16451.536495988108
301,TR,2019,CLV15_MEUR,B1GQ,895778.9,82003882.0,10923.615786872138
302,UK,2019,CLV15_MEUR,B1GQ,2809362.6,66647112.0,42152.803260252294
303,XK,2019,CLV15_MEUR,B1GQ,6802.5,1795666.0,3788.2880223827815
304,AL,2020,CLV15_MEUR,B1GQ,11282.1,2845955.0,3964.258043433575
305,AT,2020,CLV15_MEUR,B1GQ,349242.1,8901064.0,39235.99470804838
307,BE,2020,CLV15_MEUR,B1GQ,422437.0,11522440.0,36662.11323296108
308,BG,2020,CLV15_MEUR,B1GQ,49771.2,6951482.0,7159.797004437327
309,CH,2020,CLV15_MEUR,B1GQ,657293.8,8606033.0,76375.93302279923
310,CY,2020,CLV15_MEUR,B1GQ,21559.3,888005.0,24278.354288545674
311,CZ,2020,CLV15_MEUR,B1GQ,183752.3,10693939.0,17182.84534819209
312,DE,2020,CLV15_MEUR,B1GQ,3121807.3,83166711.0,37536.74111267908
313,DK,2020,CLV15_MEUR,B1GQ,294030.5,5822763.0,50496.7315344966
314,EE,2020,CLV15_MEUR,B1GQ,24107.4,1328976.0,18139.830967602124
315,EL,2020,CLV15_MEUR,B1GQ,167237.7,10718565.0,15602.620313446809
316,ES,2020,CLV15_MEUR,B1GQ,1058103.0,47332614.0,22354.62845977617
317,FI,2020,CLV15_MEUR,B1GQ,224193.0,5525292.0,40575.77409483517
318,FR,2020,CLV15_MEUR,B1GQ,2174922.4,67320216.0,32307.121533894067
319,HR,2020,CLV15_MEUR,B1GQ,47133.7,4058165.0,11614.535140882641
320,HU,2020,CLV15_MEUR,B1GQ,126780.3,9769526.0,12977.11884895951
321,IE,2020,CLV15_MEUR,B1GQ,355306.2,4964440.0,71570.24760093787
322,IS,2020,CLV15_MEUR,B1GQ,17329.0,364134.0,47589.62360010326
323,IT,2020,CLV15_MEUR,B1GQ,1573594.9,59641488.0,26384.232734099456
324,LT,2020,CLV15_MEUR,B1GQ,43431.2,2794090.0,15543.95169804838
325,LU,2020,CLV15_MEUR,B1GQ,59165.1,626108.0,94496.63636305557
326,LV,2020,CLV15_MEUR,B1GQ,27082.2,1907675.0,14196.443314505877
327,ME,2020,CLV15_MEUR,B1GQ,3648.6,621873.0,5867.114346498401
328,MK,2020,CLV15_MEUR,B1GQ,9610.0,2076255.0,4628.525879528285
329,MT,2020,CLV15_MEUR,B1GQ,11899.1,514564.0,23124.6258968758
330,NL,2020,CLV15_MEUR,B1GQ,727884.8,17407585.0,41814.23212927009
331,NO,2020,CLV15_MEUR,B1GQ,364936.2,5367580.0,67988.96336896702
332,PL,2020,CLV15_MEUR,B1GQ,504472.3,37958138.0,13290.227776715496
333,PT,2020,CLV15_MEUR,B1GQ,183779.0,10295909.0,17849.710987150334
334,RO,2020,CLV15_MEUR,B1GQ,189200.5,19328838.0,9788.508755673776
